GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,43643,40223,35395,4171,134,125,11,34,353,3420,1318,59,21,5,44,1820,153
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,13859,13786,7700,5990,18,12,0,10,56,73,31,22,0,0,0,18,2
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,25833,25562,13943,11280,96,74,4,9,156,271,127,56,7,3,0,58,20
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,13932,13533,11186,2048,55,23,0,5,216,399,194,18,0,1,0,167,19
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,14972,14665,13956,494,50,23,1,4,137,307,123,4,1,0,9,147,23
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,49948,46768,36134,8257,602,629,51,52,1043,3180,1196,102,43,15,49,1571,204
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,54428,53335,43334,8702,262,224,14,35,764,1093,455,66,5,5,6,475,81
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,13228,13067,6764,6122,44,17,0,6,114,161,24,27,0,0,1,91,18
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,11539,11309,7604,3556,40,14,0,7,88,230,44,26,0,2,15,128,15
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,37765,37282,31751,4685,196,148,1,13,488,483,271,31,18,7,0,122,34
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crenshaw County",,13906,13702,10020,3241,56,189,1,2,193,204,77,13,1,0,7,97,9
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,,,"Cullman County",,80406,76952,74568,821,397,339,18,41,768,3454,1565,35,11,4,0,1718,121
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Dale County",,50251,47430,35705,9546,337,527,42,66,1207,2821,1531,133,34,7,2,816,298
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,,,"Dallas County",,43820,43511,12676,30314,78,144,6,15,278,309,93,109,7,5,5,69,21
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,,,"DeKalb County",,71109,61419,57997,1029,865,166,35,41,1286,9690,2090,49,104,37,112,7010,288
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Elmore County",,79303,77174,59449,15814,269,514,50,74,1004,2129,1006,86,16,4,13,864,140
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Escambia County",,38319,37601,23508,12162,1274,86,12,20,539,718,276,58,14,6,0,323,41
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,,,"Etowah County",,104430,100983,82789,15716,372,657,30,87,1332,3447,1034,80,76,15,141,1888,213
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fayette County",,17241,17037,14832,1958,47,37,0,11,152,204,78,11,5,0,0,91,19
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Franklin County",,31704,26994,25249,1211,121,51,2,32,328,4710,1071,17,94,12,8,3306,202
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Geneva County",,26790,25870,22692,2523,197,64,8,15,371,920,435,16,27,3,0,394,45
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Greene County",,9045,8976,1562,7349,11,15,0,0,39,69,13,21,6,0,0,25,4
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Hale County",,15760,15620,6213,9265,23,35,1,7,76,140,53,36,2,0,0,37,12
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Henry County",,17302,16913,11731,4915,54,45,2,5,161,389,134,27,3,9,0,201,15
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Houston County",,101547,98552,69731,26038,393,806,43,96,1445,2995,1322,138,53,14,6,1148,314
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,,,,"42460","99999","999",,,,,,,,,,,,,,"Jackson County",,53227,51888,47937,1771,680,165,29,24,1282,1339,411,10,39,20,19,744,96
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Jefferson County",,658466,632978,340213,275511,1431,9085,154,531,6053,25488,8953,1014,309,73,90,13827,1222
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lamar County",,14564,14384,12542,1635,24,4,1,4,174,180,84,8,0,0,1,78,9
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Lauderdale County",,92709,90627,79228,9190,323,675,23,40,1148,2082,884,67,15,10,11,937,158
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Lawrence County",,34339,33765,26420,3917,1928,41,5,25,1429,574,227,21,25,1,1,250,49
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,,,"Lee County",,140247,135676,97900,31674,397,3615,66,164,1860,4571,2106,227,48,43,39,1709,399
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Limestone County",,82782,78191,65112,10350,487,911,26,83,1222,4591,1394,79,60,13,16,2783,246
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Lowndes County",,11299,11212,2841,8283,25,14,0,4,45,87,18,27,0,0,0,27,15
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,,,"Macon County",,21452,21220,3267,17631,28,76,2,12,204,232,52,98,1,0,0,57,24
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Madison County",,334811,319407,221445,79517,2335,8167,321,471,7151,15404,6835,859,216,98,44,6248,1104
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marengo County",,21027,20675,9607,10838,31,53,9,1,136,352,144,34,3,0,4,139,28
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,30776,30144,28509,1178,94,53,7,24,279,632,282,6,7,1,7,267,62
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,,,"Marshall County",,93019,81781,78060,1389,570,475,63,63,1161,11238,3404,105,136,3,40,7147,403
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,,,"Mobile County",,412992,403056,243904,142272,3541,7507,157,428,5247,9936,4743,720,140,54,47,3457,775
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Monroe County",,23068,22848,12621,9581,256,67,4,8,311,220,97,33,4,0,5,58,23
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Montgomery County",,229363,221049,88099,124928,520,4792,84,187,2439,8314,2557,549,69,29,87,4556,467
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Morgan County",,119490,110334,92585,14059,928,665,69,80,1948,9156,2819,126,114,26,38,5617,416
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Perry County",,10591,10477,3142,7244,17,30,5,4,35,114,62,32,0,0,0,12,8
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pickens County",,19746,19433,11027,8169,28,32,1,18,158,313,83,42,0,4,0,110,74
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,,,"Pike County",,32899,32169,18887,11990,185,645,6,14,442,730,257,64,7,9,18,327,48
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Randolph County",,22913,22264,17280,4604,84,54,5,8,229,649,252,3,0,1,0,361,32
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,,,"Russell County",,52947,51001,27591,21926,189,223,112,55,905,1946,858,209,30,13,1,636,199
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"St. Clair County",,83593,81877,72947,7098,252,512,41,64,963,1716,794,52,29,6,5,670,160
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Shelby County",,195085,183518,156371,20606,458,3699,62,250,2072,11567,5572,126,95,27,12,5123,612
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sumter County",,13763,13677,3304,10283,11,33,1,0,45,86,22,33,0,0,3,26,2
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,,,"Talladega County",,82291,80620,53079,25953,230,329,6,60,963,1671,660,102,34,10,0,727,138
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Tallapoosa County",,41616,40574,28838,11050,119,197,2,22,346,1042,249,33,2,0,6,691,61
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Tuscaloosa County",,194656,188707,126611,57401,455,2293,76,136,1735,5949,2393,210,71,13,41,2857,364
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Walker County",,67023,65716,60587,3885,233,190,26,36,759,1307,559,43,18,5,10,603,69
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Washington County",,17581,17430,11455,4360,1394,18,9,8,186,151,53,20,17,2,3,35,21
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wilcox County",,11670,11598,3110,8420,14,4,1,2,47,72,16,45,0,0,0,7,4
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Winston County",,24484,23845,23237,115,139,59,8,4,283,639,172,0,24,1,20,352,70
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians East Borough",,3141,2756,425,212,869,1113,19,1,117,385,235,7,7,17,0,83,36
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians West Census Area",,5561,4835,1745,318,841,1575,102,5,249,726,259,14,16,31,1,343,62
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Anchorage Municipality",,291826,269765,182814,15308,22047,23208,5776,562,20050,22061,9684,918,1083,372,125,6284,3595
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bethel Census Area",,17013,16832,1854,65,14056,158,18,6,675,181,40,0,53,2,9,39,38
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bristol Bay Borough",,997,973,476,0,330,8,3,0,156,24,5,0,4,0,0,4,11
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Denali Borough",,1826,1784,1614,10,64,19,1,5,71,42,23,0,1,0,0,9,9
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dillingham Census Area",,4847,4746,855,11,3431,32,6,1,410,101,23,0,39,0,0,11,28
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,,,"Fairbanks North Star Borough",,97581,91930,72259,4154,6669,2512,375,191,5770,5651,2916,269,210,79,21,1255,901
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Haines Borough",,2508,2461,2062,9,227,13,0,13,137,47,24,1,3,1,0,8,10
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hoonah-Angoon Census Area",,2150,2073,993,8,850,12,1,0,209,77,21,0,40,0,0,6,10
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,,,"Juneau City and Borough",,31275,29687,21065,259,3534,1879,213,40,2697,1588,749,20,158,40,5,346,270
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kenai Peninsula Borough",,55400,53759,45879,248,3970,614,111,79,2858,1641,978,21,111,17,8,257,249
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,,,"Ketchikan Gateway Borough",,13477,12939,8918,76,1831,936,24,14,1140,538,258,2,79,7,3,79,110
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,,,"Kodiak Island Borough",,13592,12596,7137,85,1759,2620,86,14,895,996,385,7,38,40,1,383,142
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lake and Peninsula Borough",,1631,1588,362,9,1044,6,5,0,162,43,18,0,17,0,0,6,2
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Matanuska-Susitna Borough",,88995,85694,73676,817,4735,1075,214,121,5056,3301,1864,39,166,21,7,519,685
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Nome Census Area",,9492,9377,1511,27,7175,88,9,8,559,115,41,0,24,8,0,14,28
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"North Slope Borough",,9430,9181,3059,91,5046,414,103,7,461,249,88,3,54,11,1,60,32
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Northwest Arctic Borough",,7523,7465,830,35,6102,42,12,3,441,58,16,2,19,0,0,14,7
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Petersburg Census Area",,3815,3685,2649,15,603,96,6,13,303,130,62,0,11,4,1,29,23
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area",,5559,5432,2756,17,2165,21,21,4,448,127,43,0,42,0,0,16,26
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sitka City and Borough",,8881,8444,5641,43,1442,509,29,11,769,437,157,4,51,20,1,102,102
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Skagway Municipality",,968,947,872,0,34,5,1,0,35,21,13,0,0,0,0,4,4
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Southeast Fairbanks Census Area",,7029,6795,5535,71,797,64,11,6,311,234,116,5,11,0,7,63,32
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Valdez-Cordova Census Area",,9636,9287,6949,45,1270,350,54,1,618,349,178,1,45,4,0,45,76
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wade Hampton Census Area",,7459,7452,199,1,7082,17,0,3,150,7,2,0,3,1,0,0,1
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wrangell City and Borough",,2369,2332,1699,4,381,32,1,1,214,37,20,0,3,1,0,4,9
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yakutat City and Borough",,662,645,268,2,235,27,12,0,101,17,13,0,2,0,0,1,1
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yukon-Koyukuk Census Area",,5588,5522,1218,9,3967,14,6,2,306,66,25,1,25,0,0,7,8
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Apache County",,71518,67405,14568,157,51360,185,24,27,1084,4113,2066,18,794,18,2,877,338
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,,,"Cochise County",,131346,88803,76805,4936,989,2410,379,223,3061,42543,26280,529,600,115,39,12766,2214
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,,,"Coconino County",,134421,116255,74231,1495,35610,1787,138,192,2802,18166,8736,134,1104,59,26,6798,1309
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,,,"Gila County",,53597,44009,35298,195,7615,256,34,38,573,9588,5864,38,331,17,13,2827,498
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Graham County",,37220,25900,19483,633,5074,193,49,33,435,11320,7344,50,302,7,3,3001,613
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Greenlee County",,8437,4397,4054,79,142,44,5,3,70,4040,2460,10,53,2,0,1265,250
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"La Paz County",,20489,15683,12854,115,2201,90,5,11,407,4806,1452,14,427,17,2,2540,354
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Maricopa County",,3817117,2688376,2240055,177490,59252,128301,6723,5508,71047,1128741,546726,13029,19077,3924,1067,484197,60721
"G0400150","2010","4","8","Arizona","04","Mohave County","015",,,,,,,,,,,,,,"29420","99999","999",,,,,,,,,,,,,,"Mohave County",,200186,170617,159378,1715,3793,2016,316,145,3254,29569,14500,167,707,87,25,11844,2239
"G0400170","2010","4","8","Arizona","04","Navajo County","017",,,,,,,,,,,,,,"43320","99999","999",,,,,,,,,,,,,,"Navajo County",,107449,95878,47181,842,45551,542,68,44,1650,11571,5791,96,1060,38,7,3581,998
"G0400190","2010","4","8","Arizona","04","Pima County","019",,,,,,,,,,,,,,"46060","99999","999",,,,,,,,,,,,,,"Pima County",,980263,641461,541700,31075,23558,24592,1336,1461,17739,338802,187051,3599,9047,1139,288,119178,18500
"G0400210","2010","4","8","Arizona","04","Pinal County","021",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Pinal County",,375770,268793,220486,16007,17410,6114,1489,487,6800,106977,51527,1208,3539,378,76,42726,7523
"G0400230","2010","4","8","Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,"35700","99999","999",,,,,,,,,,,,,,"Santa Cruz County",,47420,8147,7564,89,115,235,7,19,118,39273,27271,90,213,20,8,10836,835
"G0400250","2010","4","8","Arizona","04","Yavapai County","025",,,,,,,,,,,,,,"39140","99999","999",,,,,,,,,,,,,,"Yavapai County",,211033,182305,172968,1104,2799,1703,182,188,3361,28728,15547,163,750,82,31,10158,1997
"G0400270","2010","4","8","Arizona","04","Yuma County","027",,,,,,,,,,,,,,"49740","99999","999",,,,,,,,,,,,,,"Yuma County",,195751,78839,69022,3169,1957,2041,204,216,2230,116912,68859,762,1099,283,102,40527,5280
"G0500010","2010","3","7","Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Arkansas County",,19019,18506,13511,4634,31,92,2,11,225,513,148,27,5,0,0,309,24
"G0500030","2010","3","7","Arkansas","05","Ashley County","003",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Ashley County",,21853,20784,14901,5619,53,40,2,4,165,1069,242,21,17,0,1,705,83
"G0500050","2010","3","7","Arkansas","05","Baxter County","005",,,,,,,,,,,,,,"34260","99999","999",,,,,,,,,,,,,,"Baxter County",,41513,40825,39837,59,217,163,16,14,519,688,394,8,15,6,1,179,85
"G0500070","2010","3","7","Arkansas","05","Benton County","007",,,,,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,,,"Benton County",,221339,187056,169605,2647,3440,6245,634,224,4261,34283,13212,167,311,74,37,18837,1645
"G0500090","2010","3","7","Arkansas","05","Boone County","009",,,,,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,,,"Boone County",,36903,36229,35139,64,247,153,21,17,588,674,485,8,16,3,0,103,59
"G0500110","2010","3","7","Arkansas","05","Bradley County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bradley County",,11508,9992,6676,3167,15,25,1,1,107,1516,258,6,41,2,0,1161,48
"G0500130","2010","3","7","Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,,,"Calhoun County",,5368,5216,3939,1190,10,11,0,2,64,152,62,2,5,0,0,72,11
"G0500150","2010","3","7","Arkansas","05","Carroll County","015",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carroll County",,27446,23957,23062,74,224,160,16,18,403,3489,1531,29,27,4,23,1659,216
"G0500170","2010","3","7","Arkansas","05","Chicot County","017",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Chicot County",,11800,11258,4761,6347,23,53,3,6,65,542,103,34,0,2,1,375,27
